rank,rank_normalized,eigenvalue
1,0.007936507936507936,104.38657808356504
2,0.015873015873015872,3.7218440738928633
3,0.023809523809523808,2.064184149252625
4,0.031746031746031744,1.7962889020327044
5,0.03968253968253968,1.0356623594507308
6,0.047619047619047616,0.793862951083582
7,0.05555555555555555,0.5472320496841521
8,0.06349206349206349,0.5162524468190345
9,0.07142857142857142,0.4357952783123482
10,0.07936507936507936,0.4023357369502827
11,0.0873015873015873,0.3457739437005623
12,0.09523809523809523,0.33465238597238417
13,0.10317460317460317,0.30112908002263883
14,0.1111111111111111,0.2753765414600797
15,0.11904761904761904,0.2637293445211967
16,0.12698412698412698,0.26169004740074153
17,0.1349206349206349,0.26061561681396483
18,0.14285714285714285,0.24810054538417073
19,0.15079365079365079,0.24411524685877659
20,0.15873015873015872,0.24084581190494012
21,0.16666666666666666,0.23473951913831112
22,0.1746031746031746,0.2282128147572528
23,0.18253968253968253,0.22273116847749846
24,0.19047619047619047,0.21046321687290642
25,0.1984126984126984,0.20601170215837808
26,0.20634920634920634,0.20430406636908954
27,0.21428571428571427,0.20251713831571885
28,0.2222222222222222,0.19007407066427132
29,0.23015873015873015,0.18907854999373222
30,0.23809523809523808,0.17779528858769406
31,0.24603174603174602,0.1738426866640349
32,0.25396825396825395,0.17125368272172728
33,0.2619047619047619,0.16672679937241022
34,0.2698412698412698,0.16466830949289
35,0.2777777777777778,0.16450518200414205
36,0.2857142857142857,0.15938946498411644
37,0.29365079365079366,0.15717444275777162
38,0.30158730158730157,0.1553912931476464
39,0.30952380952380953,0.15206806058012054
40,0.31746031746031744,0.1414109994059374
41,0.3253968253968254,0.14005088857930867
42,0.3333333333333333,0.13538799110937313
43,0.3412698412698413,0.13170343728789427
44,0.3492063492063492,0.129335730838719
45,0.35714285714285715,0.1256378139336788
46,0.36507936507936506,0.11814104665915146
47,0.373015873015873,0.11590293797449926
48,0.38095238095238093,0.11242631392349325
49,0.3888888888888889,0.10917835116350318
50,0.3968253968253968,0.10819720290263854
51,0.40476190476190477,0.10402947900214743
52,0.4126984126984127,0.09885237495539982
53,0.42063492063492064,0.09795022245964241
54,0.42857142857142855,0.09520095009042118
55,0.4365079365079365,0.09334275516171849
56,0.4444444444444444,0.09209285389168188
57,0.4523809523809524,0.08573130696131873
58,0.4603174603174603,0.08238705683669087
59,0.46825396825396826,0.08178143662988265
60,0.47619047619047616,0.08153218944233932
61,0.48412698412698413,0.07900097060564472
62,0.49206349206349204,0.07532962377821467
63,0.5,0.07433057900762867
64,0.5079365079365079,0.07000666642747526
65,0.5158730158730159,0.06952112339933428
66,0.5238095238095238,0.06754611095528275
67,0.5317460317460317,0.0640087430934921
68,0.5396825396825397,0.06159563373030933
69,0.5476190476190477,0.05854682351580674
70,0.5555555555555556,0.05564180848138403
71,0.5634920634920635,0.0547504632077136
72,0.5714285714285714,0.05402334690484317
73,0.5793650793650794,0.05037139777157455
74,0.5873015873015873,0.0503476748015892
75,0.5952380952380952,0.04712631764647129
76,0.6031746031746031,0.04627066539252374
77,0.6111111111111112,0.042981456248043455
78,0.6190476190476191,0.04291633877238565
79,0.626984126984127,0.042193393146778675
80,0.6349206349206349,0.03872196707632289
81,0.6428571428571429,0.036736982469234604
82,0.6507936507936508,0.035781162373690036
83,0.6587301587301587,0.03350645346941193
84,0.6666666666666666,0.030750984854643015
85,0.6746031746031746,0.030228990104027464
86,0.6825396825396826,0.02857880703208292
87,0.6904761904761905,0.026110639090456415
88,0.6984126984126984,0.02440488775201576
89,0.7063492063492064,0.02247839859388986
90,0.7142857142857143,0.021249694933615348
91,0.7222222222222222,0.02045017675451761
92,0.7301587301587301,0.02032075042674332
93,0.7380952380952381,0.018686963716178562
94,0.746031746031746,0.017855661664389885
95,0.753968253968254,0.01730280870581039
96,0.7619047619047619,0.01567670669464059
97,0.7698412698412699,0.014607071268754965
98,0.7777777777777778,0.014567162153800741
99,0.7857142857142857,0.013622086122172302
100,0.7936507936507936,0.012467724245507154
101,0.8015873015873016,0.011361379643592203
102,0.8095238095238095,0.011260655339526911
103,0.8174603174603174,0.010681453955964341
104,0.8253968253968254,0.010106982663700715
105,0.8333333333333334,0.009018336852258281
106,0.8412698412698413,0.008472481814773222
107,0.8492063492063492,0.006865299380795388
108,0.8571428571428571,0.006253359730676277
109,0.8650793650793651,0.006091812619332311
110,0.873015873015873,0.005445131679717583
111,0.8809523809523809,0.004173340498712739
112,0.8888888888888888,0.003981531773664324
113,0.8968253968253969,0.003668418218456014
114,0.9047619047619048,0.0029921222236860543
115,0.9126984126984127,0.0025203874518046586
116,0.9206349206349206,0.0020172510318860128
117,0.9285714285714286,0.0019163678985788064
118,0.9365079365079365,0.0016750861306937632
119,0.9444444444444444,0.0012617913263553038
120,0.9523809523809523,0.0008286806267832486
121,0.9603174603174603,0.0007321897080292671
122,0.9682539682539683,0.00029028785294432413
123,0.9761904761904762,0.0002315028402384237
124,0.9841269841269841,0.00019819798603423573
125,0.9920634920634921,5.4635816522862854e-05
126,1.0,7.071949015113307e-07
