rank,rank_normalized,eigenvalue
1,0.016666666666666666,3.6023807856247494
2,0.03333333333333333,2.3500174879606974
3,0.05,2.3263983739621943
4,0.06666666666666667,2.1967213181541174
5,0.08333333333333333,2.1684565040201993
6,0.1,2.1280213812650395
7,0.11666666666666667,2.0799488485264743
8,0.13333333333333333,1.9831563284367975
9,0.15,1.8310122244043554
10,0.16666666666666666,1.745254158169487
11,0.18333333333333332,1.683040953427343
12,0.2,1.5547930841902817
13,0.21666666666666667,1.5448239634506908
14,0.23333333333333334,1.5208784172175795
15,0.25,1.4754930438104599
16,0.26666666666666666,1.4083810489191158
17,0.2833333333333333,1.3228764902518801
18,0.3,1.3200151789438448
19,0.31666666666666665,1.2989609703724012
20,0.3333333333333333,1.2679236805363188
21,0.35,1.2452641791716559
22,0.36666666666666664,1.2238850616326857
23,0.38333333333333336,1.1997614812911295
24,0.4,1.1751762643223884
25,0.4166666666666667,1.159100169084337
26,0.43333333333333335,1.142557106274891
27,0.45,1.1201737686215585
28,0.4666666666666667,1.1040079908997975
29,0.48333333333333334,1.0676210724329804
30,0.5,1.059392511158808
31,0.5166666666666667,1.0531552969390519
32,0.5333333333333333,1.0442516109892532
33,0.55,0.9871992544581315
34,0.5666666666666667,0.9504974505249482
35,0.5833333333333334,0.9370752329369211
36,0.6,0.9052441813360049
37,0.6166666666666667,0.8938962690064591
38,0.6333333333333333,0.8562803053907554
39,0.65,0.8127384086264249
40,0.6666666666666666,0.7944899534936857
41,0.6833333333333333,0.7785215695829409
42,0.7,0.7753262427409094
43,0.7166666666666667,0.756245410126533
44,0.7333333333333333,0.7466668641869701
45,0.75,0.7305473648165254
46,0.7666666666666667,0.7102610742083295
47,0.7833333333333333,0.6979839241951893
48,0.8,0.6679004005066742
49,0.8166666666666667,0.6400330468900005
50,0.8333333333333334,0.6110914273340073
51,0.85,0.5709542014239309
52,0.8666666666666667,0.5431863763001917
53,0.8833333333333333,0.5318395715647767
54,0.9,0.4830086673193686
55,0.9166666666666666,0.45260655595797333
56,0.9333333333333333,0.44008047312786497
57,0.95,0.4268443458896749
58,0.9666666666666667,0.41518684488278307
59,0.9833333333333333,0.395228659261658
60,1.0,0.3329115222276232
