rank,rank_normalized,diagonal_value
1,0.007936507936507936,2.400932709939749
2,0.015873015873015872,2.3322341305994345
3,0.023809523809523808,2.248135214860943
4,0.031746031746031744,2.205862330059144
5,0.03968253968253968,2.17976779821933
6,0.047619047619047616,2.0765055541499264
7,0.05555555555555555,2.0319804270109256
8,0.06349206349206349,1.9821964179376717
9,0.07142857142857142,1.8587573923271143
10,0.07936507936507936,1.7537018834190927
11,0.0873015873015873,1.732558118452327
12,0.09523809523809523,1.6936930567702873
13,0.10317460317460317,1.6365009369900037
14,0.1111111111111111,1.612379630670503
15,0.11904761904761904,1.6072124350306976
16,0.12698412698412698,1.5885720947051711
17,0.1349206349206349,1.5759798578735142
18,0.14285714285714285,1.55984292017115
19,0.15079365079365079,1.5482555800346882
20,0.15873015873015872,1.5451292204821827
21,0.16666666666666666,1.49783303078829
22,0.1746031746031746,1.4606241826540751
23,0.18253968253968253,1.413661857163561
24,0.19047619047619047,1.410847275887661
25,0.1984126984126984,1.391547329423183
26,0.20634920634920634,1.3833410718925994
27,0.21428571428571427,1.369085120352244
28,0.2222222222222222,1.3464444656458818
29,0.23015873015873015,1.3394455696140282
30,0.23809523809523808,1.3047940760718122
31,0.24603174603174602,1.293187111656847
32,0.25396825396825395,1.292984445005764
33,0.2619047619047619,1.2490347367106789
34,0.2698412698412698,1.2360730443384609
35,0.2777777777777778,1.2309401204590735
36,0.2857142857142857,1.2171224137576746
37,0.29365079365079366,1.2162515857855936
38,0.30158730158730157,1.2116134754952692
39,0.30952380952380953,1.2043423819242116
40,0.31746031746031744,1.20335986294093
41,0.3253968253968254,1.2013279226387066
42,0.3333333333333333,1.1957048104609271
43,0.3412698412698413,1.1911327654865256
44,0.3492063492063492,1.166021721084688
45,0.35714285714285715,1.1563877564441196
46,0.36507936507936506,1.1492183193267929
47,0.373015873015873,1.1369891609443448
48,0.38095238095238093,1.0954289390609069
49,0.3888888888888889,1.0873007795526302
50,0.3968253968253968,1.077296884487729
51,0.40476190476190477,1.0591334781262172
52,0.4126984126984127,1.05777498499372
53,0.42063492063492064,1.0190497624647323
54,0.42857142857142855,0.9971979938006474
55,0.4365079365079365,0.9895623477899202
56,0.4444444444444444,0.966590365828199
57,0.4523809523809524,0.957641395904171
58,0.4603174603174603,0.9404667544439176
59,0.46825396825396826,0.9368100665636958
60,0.47619047619047616,0.9047639086082904
61,0.48412698412698413,0.8907150088860355
62,0.49206349206349204,0.8889535341073603
63,0.5,0.8833829141448462
64,0.5079365079365079,0.8727775406548466
65,0.5158730158730159,0.8705785710059468
66,0.5238095238095238,0.8678455355923242
67,0.5317460317460317,0.8677469185292975
68,0.5396825396825397,0.8472023818719466
69,0.5476190476190477,0.8447037336133236
70,0.5555555555555556,0.842277606031302
71,0.5634920634920635,0.8315580284808964
72,0.5714285714285714,0.8158968451946259
73,0.5793650793650794,0.8136236896764534
74,0.5873015873015873,0.8064865452705429
75,0.5952380952380952,0.7987144113917837
76,0.6031746031746031,0.7975874737345396
77,0.6111111111111112,0.7960911743660966
78,0.6190476190476191,0.7849886634581423
79,0.626984126984127,0.7683135487383977
80,0.6349206349206349,0.7521614653054982
81,0.6428571428571429,0.7415279402843673
82,0.6507936507936508,0.7304730419008509
83,0.6587301587301587,0.7274821659963039
84,0.6666666666666666,0.7135186507780847
85,0.6746031746031746,0.710292611775812
86,0.6825396825396826,0.7101869651154523
87,0.6904761904761905,0.684504870812059
88,0.6984126984126984,0.6727725872436175
89,0.7063492063492064,0.6690327549963723
90,0.7142857142857143,0.6650898405842655
91,0.7222222222222222,0.6603209457721155
92,0.7301587301587301,0.6554115992052614
93,0.7380952380952381,0.6414827877189478
94,0.746031746031746,0.6404874999507909
95,0.753968253968254,0.636102847408912
96,0.7619047619047619,0.6344433891340064
97,0.7698412698412699,0.6161452855820082
98,0.7777777777777778,0.6076860443837185
99,0.7857142857142857,0.585892290363973
100,0.7936507936507936,0.5762029285380388
101,0.8015873015873016,0.563287307888867
102,0.8095238095238095,0.5529181136508862
103,0.8174603174603174,0.5390138272673941
104,0.8253968253968254,0.5126632508143114
105,0.8333333333333334,0.5067536905362691
106,0.8412698412698413,0.5019129554011451
107,0.8492063492063492,0.4906929042455166
108,0.8571428571428571,0.4900524075141257
109,0.8650793650793651,0.4768083107684697
110,0.873015873015873,0.4615971411805296
111,0.8809523809523809,0.4547342783420736
112,0.8888888888888888,0.4466379677175032
113,0.8968253968253969,0.4413997049701496
114,0.9047619047619048,0.4356853419764754
115,0.9126984126984127,0.4298784223443118
116,0.9206349206349206,0.4067150689540874
117,0.9285714285714286,0.3972576165579194
118,0.9365079365079365,0.3946942234031815
119,0.9444444444444444,0.3914075212620219
120,0.9523809523809523,0.3867253355545684
121,0.9603174603174603,0.3690528095472247
122,0.9682539682539683,0.3633852113510586
123,0.9761904761904762,0.3442026851797286
124,0.9841269841269841,0.3333210846128384
125,0.9920634920634921,0.3304603329013008
126,1.0,0.3295488631763112
