rank,rank_normalized,eigenvalue
1,0.007936507936507936,6.52489091265266
2,0.015873015873015872,2.0432309526645582
3,0.023809523809523808,1.7769187383973766
4,0.031746031746031744,1.7247520796429463
5,0.03968253968253968,1.5503138880149239
6,0.047619047619047616,1.4818081521974835
7,0.05555555555555555,1.4000250049231437
8,0.06349206349206349,1.3885370499523744
9,0.07142857142857142,1.343001233477259
10,0.07936507936507936,1.276058799484409
11,0.0873015873015873,1.2653816721513045
12,0.09523809523809523,1.2444217685707137
13,0.10317460317460317,1.219326530370417
14,0.1111111111111111,1.2143839860447052
15,0.11904761904761904,1.1778727394083532
16,0.12698412698412698,1.1652120365301342
17,0.1349206349206349,1.1544066246411233
18,0.14285714285714285,1.1484172143628761
19,0.15079365079365079,1.1256875093105225
20,0.15873015873015872,1.1213649770377012
21,0.16666666666666666,1.1120244213502883
22,0.1746031746031746,1.1064094215995557
23,0.18253968253968253,1.0940184735960405
24,0.19047619047619047,1.0770852433675733
25,0.1984126984126984,1.0711311254197158
26,0.20634920634920634,1.0653556218056466
27,0.21428571428571427,1.0631136341013019
28,0.2222222222222222,1.0576390631027657
29,0.23015873015873015,1.055887741975139
30,0.23809523809523808,1.049774476325337
31,0.24603174603174602,1.0422060437680662
32,0.25396825396825395,1.034121370760375
33,0.2619047619047619,1.0327522241583413
34,0.2698412698412698,1.0242874181497066
35,0.2777777777777778,1.0192085749143134
36,0.2857142857142857,1.0155666431512655
37,0.29365079365079366,1.0092133126383673
38,0.30158730158730157,1.0082277206630696
39,0.30952380952380953,0.9995452518537244
40,0.31746031746031744,0.9960029452616795
41,0.3253968253968254,0.992387084743882
42,0.3333333333333333,0.9853676801175757
43,0.3412698412698413,0.9778680363496265
44,0.3492063492063492,0.9763276801323739
45,0.35714285714285715,0.9728521756097984
46,0.36507936507936506,0.9704204854795874
47,0.373015873015873,0.9650664045345024
48,0.38095238095238093,0.9600969979725555
49,0.3888888888888889,0.9572379927148362
50,0.3968253968253968,0.9551945217639274
51,0.40476190476190477,0.9486471438367589
52,0.4126984126984127,0.9456359081891831
53,0.42063492063492064,0.942617005242965
54,0.42857142857142855,0.9396197410862038
55,0.4365079365079365,0.934733720848608
56,0.4444444444444444,0.9322937448810332
57,0.4523809523809524,0.9277414319414479
58,0.4603174603174603,0.9260785038953622
59,0.46825396825396826,0.9226696617399018
60,0.47619047619047616,0.9211725048204941
61,0.48412698412698413,0.9189255407207618
62,0.49206349206349204,0.9155227468212931
63,0.5,0.9126203848113718
64,0.5079365079365079,0.9085837451963457
65,0.5158730158730159,0.9051732444702865
66,0.5238095238095238,0.901015861455242
67,0.5317460317460317,0.8977110785756429
68,0.5396825396825397,0.8963538636567754
69,0.5476190476190477,0.8889231377764728
70,0.5555555555555556,0.8878906228644059
71,0.5634920634920635,0.8836800386244289
72,0.5714285714285714,0.8826094520065919
73,0.5793650793650794,0.87866360542085
74,0.5873015873015873,0.873469484979147
75,0.5952380952380952,0.8724436758751297
76,0.6031746031746031,0.8691562310518993
77,0.6111111111111112,0.8657926377234575
78,0.6190476190476191,0.8631889971104336
79,0.626984126984127,0.8594594815194614
80,0.6349206349206349,0.8574196201080362
81,0.6428571428571429,0.8569225880496207
82,0.6507936507936508,0.8525702480747462
83,0.6587301587301587,0.8480090986872122
84,0.6666666666666666,0.845357541823692
85,0.6746031746031746,0.8447860071691902
86,0.6825396825396826,0.8416671244923641
87,0.6904761904761905,0.8358978229276459
88,0.6984126984126984,0.8331516108208692
89,0.7063492063492064,0.8307595816516565
90,0.7142857142857143,0.8299819891541399
91,0.7222222222222222,0.8255867042860467
92,0.7301587301587301,0.8213225925143368
93,0.7380952380952381,0.8186843201190885
94,0.746031746031746,0.815902199727139
95,0.753968253968254,0.8141332162589804
96,0.7619047619047619,0.8083267254328125
97,0.7698412698412699,0.805526407214829
98,0.7777777777777778,0.8037543984566387
99,0.7857142857142857,0.8010282365797932
100,0.7936507936507936,0.7976308483080038
101,0.8015873015873016,0.7966505637845924
102,0.8095238095238095,0.7891272894708945
103,0.8174603174603174,0.7868355797770203
104,0.8253968253968254,0.7841106676319075
105,0.8333333333333334,0.7805647517143269
106,0.8412698412698413,0.7791974506160032
107,0.8492063492063492,0.7762199654150181
108,0.8571428571428571,0.7745347634720914
109,0.8650793650793651,0.7719860064764779
110,0.873015873015873,0.7648621686540855
111,0.8809523809523809,0.7642439672257224
112,0.8888888888888888,0.7566494860362273
113,0.8968253968253969,0.7545588811083896
114,0.9047619047619048,0.751921299120333
115,0.9126984126984127,0.7447934159118488
116,0.9206349206349206,0.7416720541135761
117,0.9285714285714286,0.7380041077789435
118,0.9365079365079365,0.7328231473813961
119,0.9444444444444444,0.7306510813455218
120,0.9523809523809523,0.7233727369899929
121,0.9603174603174603,0.7222969788174898
122,0.9682539682539683,0.7162310668315478
123,0.9761904761904762,0.7032588840974373
124,0.9841269841269841,0.6871772426695313
125,0.9920634920634921,0.6820216814433372
126,1.0,0.6430210259015745
