rank,rank_normalized,eigenvalue
1,0.007936507936507936,18.781710354057438
2,0.015873015873015872,10.711668390137422
3,0.023809523809523808,6.409338461553467
4,0.031746031746031744,4.196794829001304
5,0.03968253968253968,2.859599718113196
6,0.047619047619047616,2.6821751229732893
7,0.05555555555555555,2.387549828725608
8,0.06349206349206349,2.1914109642034685
9,0.07142857142857142,2.0080138224243447
10,0.07936507936507936,1.96158830482729
11,0.0873015873015873,1.8065478799480683
12,0.09523809523809523,1.6856093473489326
13,0.10317460317460317,1.5415549104791857
14,0.1111111111111111,1.5257167996689902
15,0.11904761904761904,1.4437145028664933
16,0.12698412698412698,1.4043116048065543
17,0.1349206349206349,1.3525882639982219
18,0.14285714285714285,1.3158768026516212
19,0.15079365079365079,1.3128227454761954
20,0.15873015873015872,1.2723485204080731
21,0.16666666666666666,1.2421389448890505
22,0.1746031746031746,1.2291533092203435
23,0.18253968253968253,1.2262432964583427
24,0.19047619047619047,1.1838312668692066
25,0.1984126984126984,1.146254059283003
26,0.20634920634920634,1.1407055146431884
27,0.21428571428571427,1.1319633039688306
28,0.2222222222222222,1.1051749453779742
29,0.23015873015873015,1.0942058271932422
30,0.23809523809523808,1.084477927983973
31,0.24603174603174602,1.0762103916239418
32,0.25396825396825395,1.065055817505549
33,0.2619047619047619,1.0627683065827582
34,0.2698412698412698,1.0493088171528118
35,0.2777777777777778,1.0446107221314684
36,0.2857142857142857,1.0293540762546955
37,0.29365079365079366,1.017495721196178
38,0.30158730158730157,1.0020530182177938
39,0.30952380952380953,1.0007728248000265
40,0.31746031746031744,0.9871567455671829
41,0.3253968253968254,0.9823515786192715
42,0.3333333333333333,0.9710626885141187
43,0.3412698412698413,0.9570627585838322
44,0.3492063492063492,0.946757974069213
45,0.35714285714285715,0.9355913256895789
46,0.36507936507936506,0.9275900900083234
47,0.373015873015873,0.9123700177078108
48,0.38095238095238093,0.896046425531968
49,0.3888888888888889,0.8834096480315762
50,0.3968253968253968,0.8730871047015027
51,0.40476190476190477,0.8630696139871826
52,0.4126984126984127,0.8470021559375922
53,0.42063492063492064,0.8187632781509592
54,0.42857142857142855,0.8066100887291004
55,0.4365079365079365,0.7936020715453759
56,0.4444444444444444,0.7795889819900236
57,0.4523809523809524,0.7706225064959141
58,0.4603174603174603,0.7502067529303041
59,0.46825396825396826,0.7345341652752546
60,0.47619047619047616,0.7227550261890995
61,0.48412698412698413,0.7047233061040344
62,0.49206349206349204,0.6881701612796504
63,0.5,0.657613576992824
64,0.5079365079365079,0.6328091543239477
65,0.5158730158730159,0.6110660464062013
66,0.5238095238095238,0.6058340626162412
67,0.5317460317460317,0.589935275558838
68,0.5396825396825397,0.5825308308042215
69,0.5476190476190477,0.5539988224042954
70,0.5555555555555556,0.5483018034247765
71,0.5634920634920635,0.5305384171070813
72,0.5714285714285714,0.5199769901953039
73,0.5793650793650794,0.4858048980468341
74,0.5873015873015873,0.477353636040265
75,0.5952380952380952,0.4652374895332045
76,0.6031746031746031,0.44846952876667706
77,0.6111111111111112,0.41662717815507566
78,0.6190476190476191,0.40948311612927824
79,0.626984126984127,0.4022051755068664
80,0.6349206349206349,0.37805600845831167
81,0.6428571428571429,0.3760780712310936
82,0.6507936507936508,0.3544162147573623
83,0.6587301587301587,0.34391043998466675
84,0.6666666666666666,0.32353880711785143
85,0.6746031746031746,0.3057398841535886
86,0.6825396825396826,0.30242688021643366
87,0.6904761904761905,0.28697223302403985
88,0.6984126984126984,0.2791495337581055
89,0.7063492063492064,0.26815347945809903
90,0.7142857142857143,0.25584957417693843
91,0.7222222222222222,0.25199016449206024
92,0.7301587301587301,0.241695420799997
93,0.7380952380952381,0.2365573377159792
94,0.746031746031746,0.22118769219763146
95,0.753968253968254,0.21115678994268666
96,0.7619047619047619,0.19766355241142883
97,0.7698412698412699,0.18701114822614687
98,0.7777777777777778,0.1828498756085878
99,0.7857142857142857,0.17853405949880255
100,0.7936507936507936,0.16281453870693105
101,0.8015873015873016,0.15354195605501658
102,0.8095238095238095,0.15155018698069364
103,0.8174603174603174,0.149300899068156
104,0.8253968253968254,0.13325044983708503
105,0.8333333333333334,0.13087984692621155
106,0.8412698412698413,0.12320243109700947
107,0.8492063492063492,0.11763178483100246
108,0.8571428571428571,0.11019615455341825
109,0.8650793650793651,0.10495104108021751
110,0.873015873015873,0.10039145012738314
111,0.8809523809523809,0.09243243035649072
112,0.8888888888888888,0.08667572243253983
113,0.8968253968253969,0.08407390268289883
114,0.9047619047619048,0.07861790856376825
115,0.9126984126984127,0.07620059082007327
116,0.9206349206349206,0.06497202986152151
117,0.9285714285714286,0.06129272263190456
118,0.9365079365079365,0.05533919453075496
119,0.9444444444444444,0.05315894071491691
120,0.9523809523809523,0.045459190626533925
121,0.9603174603174603,0.04261673876718823
122,0.9682539682539683,0.04085742246958028
123,0.9761904761904762,0.03474590563837316
124,0.9841269841269841,0.03386655227299165
125,0.9920634920634921,0.03180598161990913
126,1.0,0.024597126845231188
